,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
0,6.3424931159579,13.3008,13.136438090395,2.1632,0.792,0.54044850197442,0.358,1
2,7.2615573355531,10.2691,10.151624732817,2.8625,1.731,1.1050162396247,0.263,1
3,3.493075862069,4.2999,4.2999306685532,1.8919,2.787,2.1341675356274,0.0,1
4,14.889427521079,0.0,47.51407396171606,2.0436,1.7182084143933,1.4025869878373,-0.141,1
5,6.2293514461032,9.3333,8.7463661900025,0.9151,0.41173975018571,0.41079879921765,0.205,1
8,13.492365458159,21.9615,21.57618666843,0.0,0.171,0.10239029611131,0.173,1
9,8.408593087455799,7.3152,7.1473830486202,0.0,0.851,0.40901675221838,0.16899999999999998,1
11,5.926132315521599,15.4318,15.372739273927,1.3956,1.133,1.06,0.0,1
12,1.9596377592874,8.2258,8.005895681266098,0.8469,1.2,1.6223147673409,0.645,1
16,6.0179267418845,10.6914,9.6943094431295,1.0957,0.28050200464118,0.1179953315829,0.381,1
19,3.4658637819333,7.7818,7.0972900232751,0.637,0.5148774545621699,0.4332577951495,0.23,1
21,9.147561670089,8.2432,7.638653177869201,0.8276,1.7581892635088998,0.39202335326342,0.229,1
23,23.0061271925,10.7987,10.628412728516,1.2696,0.5636469066629799,0.32146651330829,0.274,1
33,10.161283445946,7.5039,7.3604859287054,3.4016,3.895,3.2579127459367,0.239,1
34,8.193851254291001,9.5168,9.3661680350136,4.4282,2.704,1.6198368179499998,0.183,1
40,9.0677239865622,12.0202,11.699866377691,3.6606,1.8204959239852,1.1676852275022,0.182,1
41,14.047488522527999,17.2691,16.959772728418,6.0467,1.611,1.3937488267317,0.532,1
43,9.4984964795263,0.0,47.51407396171606,4.7873,1.043,0.9512523323868,0.0,0
45,6.0168509381484006,8.5434,8.0805082802787,0.9651,0.052913111294614,0.0062207541976328,0.327,1
46,6.302496,8.6323,8.459102300885,0.9177,0.04818989743962,0.05245201231969,0.297,1
47,7.2516503076472,13.4929,12.978438647089998,3.6024,0.7829999999999999,0.13974783404945,0.232,1
48,7.2631374722838,14.0635,13.846452294686001,2.4341,2.322,1.5081216159933002,0.381,0
50,3.7278673469388,11.0308,10.999929744526,0.979,1.594,1.3870087336245,0.154,0
51,9.572842714285699,14.8929,14.740949367553,3.7611,3.379,3.150966525224,0.5429999999999999,1
52,3.0308476074987,5.9626,5.769729361117999,1.2171,0.916,1.0371487286744,0.271,1
53,3.8362303132281,5.7598,5.695371906226,1.5247,3.22,1.5157705016521,0.084,1
55,19.666794301676,19.5672,19.417298290127,3.1273,2.311,1.9909159727479,0.14300000000000002,1
57,6.746944206172099,6.9637,6.8417851385817015,1.661,3.077,1.3913173930086002,0.207,1
58,1.6022030155029,3.6667,3.6489651544879,0.8154,1.13,1.0780141843972,0.0,0
60,7.815622608356099,2.1691,2.2063703011225,1.3002,1.367,0.6687039648505401,0.0,1
64,0.0,10.7955,0.0,2.2689,3.172,2.4633314383172,0.0,0
66,8.1613746565553,11.5122,10.880556264324,3.944,0.562,0.28374126588485,0.531,1
67,6.620487818515401,14.9521,14.640709119011,4.3764,0.913,0.7341682045874,0.631,1
70,3.4285795635352003,2.8906,2.8843117763193,0.7695,1.511,0.99218016890835,0.032,0
73,8.974552625045401,12.0853,12.033776101286,0.0,1.751,0.47195089488436,0.0,0
74,3.8921722263314,3.671,3.4348673955614,1.1488,1.993,1.4685534591195,0.049,1
76,4.8725815524521,11.0093,10.793293956835,0.8690000000000001,1.364,0.5705205811138,0.343,1
78,20.851214973187002,25.2882,25.156939443772,0.0,1.774,1.7028373019797,0.329,1
79,5.1706179807491,5.7809,5.7830179298725986,1.0015,0.93617631223442,0.38352093710514,0.003,1
83,5.5701003664296,11.6325,11.514092718459,2.2469,1.795,1.5810682893847,0.21600000000000005,1
84,0.95445,2.4706,2.1865979381443,0.9125,0.5539999999999999,0.43332178732248,0.0,0
85,12.095320370759001,13.8381,13.724607453564,3.5511,0.942,0.75498320268757,0.2,1
87,6.6561885678805,13.9296,13.747921045019,1.345,1.252,1.0061094549336,0.574,1
90,10.888812541905999,32.4012,31.287394139120003,4.0467,0.76,0.15753747405153,0.62,1
91,4.7230799632184,2.0237,2.0033629664037,5.3649,3.16,2.4378470739,0.0,1
93,14.663668281642,17.4043,17.122792776079,2.27,0.454,0.24532472964092,0.417,1
94,7.5908067241438,29.5854,28.012521367606002,1.9698,0.857,0.74060881378095,0.585,1
97,4.460390879897201,16.8138,15.84220952381,2.7024,0.31946894093307,0.2895187277206,0.18600000000000005,1
98,2.0378556973721,0.0,47.51407396171606,0.2594,1.915,1.4879896932616,-0.121,1
99,2.1852961607467,4.3925,4.3798286187323,0.7190000000000001,0.657,0.5369680046801699,0.0,0
100,4.5450721140356,11.6923,11.747557446603,2.051,1.07,1.0613090615059,0.0,0
102,15.379086734832,22.6404,22.320134967641,5.7914,1.474,1.0818123599103,0.621,1
105,8.9074028730245,8.7116,8.246168641729701,0.9333,0.095227358136039,0.050518891105137,0.311,1
106,5.4912399937215985,11.1554,11.152276059930001,2.1702,2.156,1.1948546927108,0.0,1
108,7.7869633991328,11.5936,10.944827131083,1.1401,0.5086154247325501,0.57553507586103,0.256,1
113,6.2297370542552,0.0,47.51407396171606,1.8211,1.3259999999999998,0.89673907386784,0.0,1
114,4.8147949615335,8.7698,8.582203776415799,2.4996,0.341,0.20879534933793,0.23,1
116,7.7378843548985,13.5483,13.622309735194,1.7887,0.242,0.14558887440243,0.438,1
119,4.7828105590062,28.7674,20.741616161616,1.54,1.0590000000000002,0.90217663247436,0.0,1
120,1.5638916408208,2.5857,2.5911279594572,0.708,0.962,0.69574239892251,0.0,0
122,5.4986400571359,7.5659,7.1610196092932,0.9453,0.062578362502791,0.023023547395359,0.238,1
123,3.0765682732287,0.0,47.51407396171606,0.6368,1.805,1.5273067890773002,-0.095,1
124,7.014367266187099,11.012,10.442471223224,1.4446,0.07099757811481301,0.059515123604919014,0.32299999999999995,1
127,4.0220763368776,26.7667,26.036526074362,1.0448,0.55,0.45821782178218,0.0,1
128,1.6409911786326998,0.0,47.51407396171606,0.4844,0.8390000000000001,0.31199521387975,0.0,0
129,10.270827689992,10.8798,10.790458498024002,4.2188,1.6,1.263358778626,0.0,1
130,7.3949650977984,9.7705,9.1627492884422,1.1322,0.044156111155529004,0.031729352506482,0.41,1
133,8.060573084836,13.5227,13.257268192675,2.5698,0.8240000000000001,0.33959477546499,0.32299999999999995,0
135,5.011967875126,10.5781,10.543334010552,0.8017,1.476,1.2171494216215,0.101,1
136,8.2618646357759,10.9378,10.742242592082,0.8939,2.796365914787,0.5433515037594,0.052000000000000005,1
138,5.3744210794297,13.5573,12.915214927542,3.2501,0.5033880511548,0.49340609762446,0.253,1
141,5.8206451612903,0.0,47.51407396171606,0.27,2.708,2.2736625514403,0.0,0
143,4.5437932830954,14.5,15.229648379432001,0.982,0.526,0.48608890826592,0.0,0
144,1.3961994959268,2.28,2.2917586412063,0.6767,0.812,0.77961474041443,0.0,0
145,6.4447068353301,14.7066,14.643408991587998,2.5987,1.356,0.93093083186084,0.128,0
146,7.689673211875799,12.2,11.945592976939,1.0483,1.004,1.3314338876613998,0.3,1
148,1.706471862797,0.0,47.51407396171606,0.464,0.906,0.8331840412177,0.0,0
157,5.8762953010823,11.3667,10.909055595255001,2.1727,1.34,1.1768753372909,0.574,0
159,1.7812652274382,6.2394,5.9643655034867,1.1488,0.15271849518707,0.13829442760001,0.191,1
160,7.0193341254727,5.7158,5.7038708724259015,1.0514,0.44419381850826,0.32148585136959995,0.0,1
161,5.406471060699,10.8093,10.731790223124,2.6323,0.636,0.53851992409867,0.141,1
163,11.064758532187,21.7869,21.837056486432,0.8823,1.483,0.72490578965399,0.0,0
169,15.209724839305,20.0096,19.939129517771,4.6406,0.727,0.66917250841023,0.277,1
170,2.4058012956522004,5.2072,5.1761861365762005,0.7394,1.327,0.91617063492063,0.054000000000000006,0
174,12.537163395142,16.3158,16.277196259268,3.8393,3.817,2.6110513668659,0.16399999999999998,1
175,11.397878409825001,16.0959,15.985963644605999,4.0992,1.339,1.1075718015666,0.228,1
176,10.803726403318,18.419,18.146610233216,5.2335,1.403,1.3261867429518002,0.512,1
178,19.187580077066,24.9567,26.308304239,2.1689,1.002,0.93676384596107,0.0,1
179,6.623081354251701,9.344,8.8107960097285,1.0167,0.04920308397304,0.030973525329052,0.239,1
181,5.371704181118702,12.0366,11.913440392885,2.2307,4.3210000000000015,3.0704008042615003,0.573,0
182,12.265451451547001,17.7661,17.535362901907998,1.1273,0.6409999999999999,0.6860009405863,0.004,1
185,6.9073314614647,8.2434,8.0352909810613,4.6584,1.733,0.6422387084889399,0.395,1
186,7.573615531984402,10.9394,10.175364210256,1.098,0.035338433685686,0.023284471179116,0.394,1
190,6.6115494076334,11.8608,10.9236543,1.7803,1.927,0.8245594977675199,0.42,0
191,7.9124873182592,8.3983,8.263218139104,0.6673,0.048037105872379,0.035622289608399,0.277,1
194,9.964689302972,13.9122,13.916200148961,4.6109,2.319,1.8279315367808,0.0,0
200,3.5687155591506,11.75,11.785026508492,0.7982,0.833,0.52251423464238,0.0,1
204,6.436557645134901,0.0,47.51407396171606,1.0799,0.963,0.53093143415724,0.0,0
205,5.4233703220859,7.2347,6.3827390794224,1.2122,1.022,0.72916666666667,0.433,0
206,7.147814138641,10.2699,10.007397693786,1.4532,1.648,0.96298023125699,0.438,1
208,5.1180400675843,8.708,8.3837063841662,0.6925,0.021286608985266,0.017666437389132,0.425,1
212,1.4253585829306,0.0,47.51407396171606,0.3841,0.945,0.90348782716686,0.0,0
213,37.388039051461,12.6767,12.637390146678,1.462,1.87,1.0724431818182,0.18,1
216,2.3970815562516,3.4097,3.3976843056842,0.5944,0.921,0.9025409181808,0.022,0
217,10.484474597119,12.5135,11.906520721157,1.7524,0.37856005859333,2.9373636975292,0.29,1
218,28.828757630227,10.8814,10.763157337533,1.7697,4.1720801658604,0.52038700760194,0.129,1
219,3.6908987569584,10.8318,10.715568443758,2.2718,0.513,0.39605462822458,0.0,1
223,13.699091806760002,12.8137,12.508251381483,3.3067,1.007,0.94789448417632,0.522,1
224,22.907914080096997,17.7875,17.606517480155002,3.7313,0.8377628563387098,1.5169554903301,0.35100000000000003,1
225,19.861106280869,0.0,47.51407396171606,1.016,1.21,0.43435958949753,-0.299,0
226,8.9560193441415,17.88,17.764396359707,4.6111,1.896,1.4702677676284,0.2,0
227,6.642326412160901,11.8777,11.603523236275999,6.1003,1.286,1.3585423915033998,0.649,1
228,23.310610825054003,29.3289,29.140489171255002,3.5363,1.328,1.2407132243685,0.211,1
229,4.1626369669747,10.5625,10.41543654697,0.0,0.477,0.3658267020336,0.132,0
230,3.6297282220753,10.2081,10.049000548948,1.178,1.527,0.8540642045962601,0.406,0
231,12.735472609402,15.0342,14.82074425775,1.5375,1.051,0.51617777777778,0.444,1
233,7.8197556569544995,0.0,47.51407396171606,1.5064,0.948,0.49103448275862,0.0,1
234,12.560852117646997,0.0,47.51407396171606,1.6084,1.987,0.74753867791842,-0.063,1
237,6.935638337433,19.1641,18.830557315771,1.937,0.476,0.29249144389973,0.649,1
239,11.317320057944,12.23,12.074017397104,5.3373,1.368,1.4088879438656,0.316,1
241,6.020113592689098,39.7101,39.992340425532,1.1593,1.388,0.71256375604865,0.0,0
242,16.669376430572,0.0,47.51407396171606,1.6167,1.863,0.99822362577716,-0.078,1
245,2.2955616740088,0.0,47.51407396171606,0.7572,1.457,0.19333051920642,0.0,0
246,13.86309964317,18.7088,18.716144566731,2.1851,0.807,0.6884192071686,0.0,1
247,8.729546550472,45.0,44.852931343284,0.0,1.501,0.98748957464554,0.136,1
250,14.527541009604,14.6082,14.061616025332,1.6599,0.37364881775834,0.33643444781613,0.413,1
252,5.304377886085098,13.3026,12.623836870281,3.2867,0.961,0.20249770150169,0.459,1
254,8.179782560362801,25.3866,22.398485266134,1.7532,2.124,1.2971911809121002,0.605,1
255,8.5984463531648,12.2857,12.089368714531,0.0,1.643,0.9625890736342,0.183,1
256,13.174259296425,18.6711,18.449997234979,3.7405,1.37,0.8909167619284201,0.5,1
257,18.062074401419,22.3455,22.159189029580997,4.0625,1.8,0.93033714573708,0.393,1
